MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,DeviceName
14:ae:db:c9:62:ed,D.I. LOGISTIC,[WPA2-PSK-CCMP][ESS],2017-10-30 22:54:50,6,-86,32.10606756,34.97038655,163.1324462890625,18.224000930786133,WIFI,device=OnePlus5
06:ae:db:c9:62:ed,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-30 22:54:50,6,-88,32.10606756,34.97038655,163.1324462890625,18.224000930786133,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],2017-10-30 22:54:50,12,-88,32.10606756,34.97038655,163.1324462890625,18.224000930786133,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 22:54:50,10,-74,32.10606756,34.97038655,163.1324462890625,18.224000930786133,WIFI,device=OnePlus5
28:6f:7f:54:30:99,Peer-10,[WPA2-PSK-CCMP][ESS],2017-10-30 22:54:50,1,-82,32.10606756,34.97038655,163.1324462890625,18.224000930786133,WIFI,device=OnePlus5
42501_22213_8632321,Partner IL,UNKNOWN;il,2017-10-30 22:54:50,0,-113,32.10606756,34.97038655,163.1324462890625,18.224000930786133,GSM,device=OnePlus5
c8:be:19:0c:3f:b9,Ilan,[WPA2-PSK-CCMP][ESS],2017-10-30 22:54:59,11,-86,32.105973,34.97029385,159.06463623046875,4.288000106811523,WIFI,device=OnePlus5
80:1f:02:66:67:a8,Ambel-WIFI,[WPA-PSK-TKIP][WPS][ESS],2017-10-30 22:55:48,11,-82,32.10596751,34.97028273,159.262939453125,3.2160000801086426,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],2017-10-30 22:56:00,12,-83,32.10595486,34.97027737,157.94818115234375,9.648000717163086,WIFI,device=OnePlus5
d4:ca:6d:8a:01:a3,mediquip,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-10-30 22:56:03,3,-82,32.10595286,34.97027641,157.80474853515625,10.720000267028809,WIFI,device=OnePlus5
f4:f2:6d:82:1b:48,Shivrug-WiFi,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 22:56:03,8,-85,32.10595286,34.97027641,157.80474853515625,10.720000267028809,WIFI,device=OnePlus5
58:20:b1:d0:1f:a3,HP-Print-A3-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2017-10-30 22:56:03,6,-88,32.10595286,34.97027641,157.80474853515625,10.720000267028809,WIFI,device=OnePlus5
00:0e:f4:de:75:53,Utilis_Office,[WPA2-PSK-CCMP][ESS],2017-10-30 22:56:12,11,-85,32.10595163,34.97027543,158.038818359375,11.791999816894531,WIFI,device=OnePlus5
c8:d3:a3:20:04:19,Bezeq-N_200418,[ESS],2017-10-30 22:56:12,6,-91,32.10595163,34.97027543,158.038818359375,11.791999816894531,WIFI,device=OnePlus5
06:ae:db:c9:62:ed,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-30 22:59:34,6,-82,32.10592484,34.97024715,156.4000244140625,11.791999816894531,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:03:49,10,-69,32.10591085,34.97023489,170.04339599609375,10.720000267028809,WIFI,device=OnePlus5
42501_22213_8632322,Partner IL,UNKNOWN;il,2017-10-30 23:05:43,0,-113,32.10585581,34.97018719,162.01055908203125,10.720000267028809,GSM,device=OnePlus5
c8:d3:ff:89:a9:82,DIRECT-81-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:07:45,6,-88,32.10588452,34.97013931,141.612548828125,10.720000267028809,WIFI,device=OnePlus5
10:62:eb:a4:81:e0,CL-WH,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:07:45,6,-89,32.10588452,34.97013931,141.612548828125,10.720000267028809,WIFI,device=OnePlus5
14:ae:db:c9:62:ed,D.I. LOGISTIC,[WPA2-PSK-CCMP][ESS],2017-10-30 23:07:56,6,-79,32.10585627,34.97019362,136.4014892578125,4.288000106811523,WIFI,device=OnePlus5
74:da:38:1c:1e:fa,Doma_Ext,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:07:56,1,-82,32.10585627,34.97019362,136.4014892578125,4.288000106811523,WIFI,device=OnePlus5
f0:5c:19:9f:1e:20,EFI-staff,[WPA2-EAP-CCMP][ESS],2017-10-30 23:08:30,1,-83,32.10590306,34.97020726,135.108642578125,7.504000186920166,WIFI,device=OnePlus5
00:1b:9e:1c:db:10,WA,[WPA2-PSK-CCMP][ESS],2017-10-30 23:09:37,6,-94,32.10585979,34.97015585,131.09649658203125,10.720000267028809,WIFI,device=OnePlus5
1c:af:f7:81:86:98,CXNET,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:10:02,1,-83,32.10592257,34.97016745,132.761962890625,12.86400032043457,WIFI,device=OnePlus5
80:37:73:d7:51:1f,clixie-guest,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:11:23,1,-83,32.1059301,34.97033303,131.64599609375,10.720000267028809,WIFI,device=OnePlus5
6a:37:73:d7:51:1c,Bezeq Free PA084A,[ESS],2017-10-30 23:11:23,1,-83,32.1059301,34.97033303,131.64599609375,10.720000267028809,WIFI,device=OnePlus5
32:cd:a7:a6:09:3e,DIRECT-ujC1860 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS],2017-10-30 23:12:26,11,-87,32.10599256,34.97034258,140.6123046875,10.720000267028809,WIFI,device=OnePlus5
34:0a:12:31:04:2f,Afikim-wifi,[ESS],2017-10-30 23:12:26,7,-83,32.10599256,34.97034258,140.6123046875,10.720000267028809,WIFI,device=OnePlus5
c4:12:f5:81:81:57,Bidud,[WPA2-PSK-CCMP][ESS],2017-10-30 23:15:58,3,-81,32.10600078,34.97027756,143.4410400390625,10.720000267028809,WIFI,device=OnePlus5
80:1f:02:66:67:a8,Ambel-WIFI,[WPA-PSK-TKIP][WPS][ESS],2017-10-30 23:19:32,11,-76,32.1060107,34.97028429,145.83709716796875,10.720000267028809,WIFI,device=OnePlus5
e8:fc:af:7e:c8:f8,,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:19:43,11,-84,32.1060177,34.97027998,142.998291015625,9.648000717163086,WIFI,device=OnePlus5
00:10:f3:69:eb:6f,hiSky,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:19:53,1,-80,32.10597441,34.97030185,137.6893310546875,10.720000267028809,WIFI,device=OnePlus5
02:10:f3:69:eb:6f,hiSkyguest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:19:53,1,-82,32.10597441,34.97030185,137.6893310546875,10.720000267028809,WIFI,device=OnePlus5
4c:60:de:43:ef:26,BezeqNGN_72131,[WPS][ESS],2017-10-30 23:19:53,6,-90,32.10597441,34.97030185,137.6893310546875,10.720000267028809,WIFI,device=OnePlus5
00:23:68:04:75:41,HOTm-Guests,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2017-10-30 23:20:04,2,-81,32.10595323,34.97029289,133.520751953125,9.648000717163086,WIFI,device=OnePlus5
00:23:68:04:75:40,HOTm-WLAN,[WPA-EAP-TKIP][WPA2-EAP+FT/EAP-CCMP+TKIP][ESS],2017-10-30 23:20:04,2,-81,32.10595323,34.97029289,133.520751953125,9.648000717163086,WIFI,device=OnePlus5
12:90:7f:b3:d3:02,Hisky-Guest,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:20:14,1,-84,32.10594215,34.97024266,128.42864990234375,3.2160000801086426,WIFI,device=OnePlus5
20:2a:a8:b1:9f:b7,cloudyn-mktg-sales,[WPA2-PSK-CCMP][ESS],2017-10-30 23:25:18,6,-90,32.10593104,34.97020232,122.9378662109375,10.720000267028809,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],2017-10-30 23:25:30,12,-77,32.1059287,34.97020348,122.9718017578125,9.648000717163086,WIFI,device=OnePlus5
34:0b:05:18:21:39,Afikim-wifi,[ESS],2017-10-30 23:30:40,7,-87,32.10589941,34.97018188,125.8179931640625,10.720000267028809,WIFI,device=OnePlus5
34:0a:12:31:04:68,Afikim-wifi,[ESS],2017-10-30 23:31:16,7,-83,32.10589975,34.97018078,126.00286865234375,9.648000717163086,WIFI,device=OnePlus5
02:90:7f:b3:d3:02,Hisky,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-30 23:32:04,1,-84,32.10589799,34.970184,126.36444091796875,10.720000267028809,WIFI,device=OnePlus5
f0:5c:19:9f:1e:21,EFI-guest,[ESS],2017-10-30 23:34:05,11,-86,32.10588775,34.97019561,130.91851806640625,10.720000267028809,WIFI,device=OnePlus5
28:6f:7f:54:30:99,Peer-10,[WPA2-PSK-CCMP][ESS],2017-10-30 23:55:35,1,-82,32.10604059,34.97002002,130.3736572265625,32.15999984741211,WIFI,device=OnePlus5
42501_22213_8632321,Partner IL,UNKNOWN;il,2017-10-30 23:55:35,0,-113,32.10604059,34.97002002,130.3736572265625,32.15999984741211,GSM,device=OnePlus5
f4:f2:6d:82:1b:48,Shivrug-WiFi,[WPA2-PSK-CCMP][WPS][ESS],2017-10-30 23:58:51,8,-85,32.10596984,34.97017593,128.5113525390625,10.720000267028809,WIFI,device=OnePlus5
00:0e:f4:de:75:53,Utilis_Office,[WPA2-PSK-CCMP][ESS],2017-10-30 23:59:51,11,-86,32.10598589,34.9701693,130.2276611328125,10.720000267028809,WIFI,device=OnePlus5
14:ae:db:c9:62:ed,D.I. LOGISTIC,[WPA2-PSK-CCMP][ESS],10/30/17 22:54,6,-86,32.10606756,34.97038655,163.1324463,18.22400093,WIFI,device=OnePlus5
06:ae:db:c9:62:ed,BezeqFree,[WPA2-PSK-CCMP][ESS],10/30/17 22:54,6,-88,32.10606756,34.97038655,163.1324463,18.22400093,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],10/30/17 22:54,12,-88,32.10606756,34.97038655,163.1324463,18.22400093,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 22:54,10,-74,32.10606756,34.97038655,163.1324463,18.22400093,WIFI,device=OnePlus5
28:6f:7f:54:30:99,Peer-10,[WPA2-PSK-CCMP][ESS],10/30/17 22:54,1,-82,32.10606756,34.97038655,163.1324463,18.22400093,WIFI,device=OnePlus5
42501_22213_8632321,Partner IL,UNKNOWN;il,10/30/17 22:54,0,-25,32.10606756,34.97038655,163.1324463,18.22400093,GSM,device=OnePlus5
c8:be:19:0c:3f:b9,Ilan,[WPA2-PSK-CCMP][ESS],10/30/17 22:54,11,-86,32.105973,34.97029385,159.0646362,4.288000107,WIFI,device=OnePlus5
80:1f:02:66:67:a8,Ambel-WIFI,[WPA-PSK-TKIP][WPS][ESS],10/30/17 22:55,11,-82,32.10596751,34.97028273,159.2629395,3.21600008,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],10/30/17 22:56,12,-83,32.10595486,34.97027737,157.9481812,9.648000717,WIFI,device=OnePlus5
d4:ca:6d:8a:01:a3,mediquip,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],10/30/17 22:56,3,-82,32.10595286,34.97027641,157.8047485,10.72000027,WIFI,device=OnePlus5
f4:f2:6d:82:1b:48,Shivrug-WiFi,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 22:56,8,-85,32.10595286,34.97027641,157.8047485,10.72000027,WIFI,device=OnePlus5
58:20:b1:d0:1f:a3,HP-Print-A3-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],10/30/17 22:56,6,-88,32.10595286,34.97027641,157.8047485,10.72000027,WIFI,device=OnePlus5
00:0e:f4:de:75:53,Utilis_Office,[WPA2-PSK-CCMP][ESS],10/30/17 22:56,11,-85,32.10595163,34.97027543,158.0388184,11.79199982,WIFI,device=OnePlus5
c8:d3:a3:20:04:19,Bezeq-N_200418,[ESS],10/30/17 22:56,6,-36,32.10595163,34.97027543,158.0388184,11.79199982,WIFI,device=OnePlus5
06:ae:db:c9:62:ed,BezeqFree,[WPA2-PSK-CCMP][ESS],10/30/17 22:59,6,-82,32.10592484,34.97024715,156.4000244,11.79199982,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:03,10,-69,32.10591085,34.97023489,170.043396,10.72000027,WIFI,device=OnePlus5
42501_22213_8632322,Partner IL,UNKNOWN;il,10/30/17 23:05,0,-63,32.10585581,34.97018719,162.0105591,10.72000027,GSM,device=OnePlus5
c8:d3:ff:89:a9:82,DIRECT-81-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:07,6,-88,32.10588452,34.97013931,141.6125488,10.72000027,WIFI,device=OnePlus5
10:62:eb:a4:81:e0,CL-WH,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:07,6,-89,32.10588452,34.97013931,141.6125488,10.72000027,WIFI,device=OnePlus5
14:ae:db:c9:62:ed,D.I. LOGISTIC,[WPA2-PSK-CCMP][ESS],10/30/17 23:07,6,-79,32.10585627,34.97019362,136.4014893,4.288000107,WIFI,device=OnePlus5
74:da:38:1c:1e:fa,Doma_Ext,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:07,1,-82,32.10585627,34.97019362,136.4014893,4.288000107,WIFI,device=OnePlus5
f0:5c:19:9f:1e:20,EFI-staff,[WPA2-EAP-CCMP][ESS],10/30/17 23:08,1,-83,32.10590306,34.97020726,135.1086426,7.504000187,WIFI,device=OnePlus5
00:1b:9e:1c:db:10,WA,[WPA2-PSK-CCMP][ESS],10/30/17 23:09,6,-94,32.10585979,34.97015585,131.0964966,10.72000027,WIFI,device=OnePlus5
1c:af:f7:81:86:98,CXNET,[WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:10,1,-83,32.10592257,34.97016745,132.7619629,12.86400032,WIFI,device=OnePlus5
80:37:73:d7:51:1f,clixie-guest,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:11,1,-83,32.1059301,34.97033303,131.6459961,10.72000027,WIFI,device=OnePlus5
6a:37:73:d7:51:1c,Bezeq Free PA084A,[ESS],10/30/17 23:11,1,-83,32.1059301,34.97033303,131.6459961,10.72000027,WIFI,device=OnePlus5
32:cd:a7:a6:09:3e,DIRECT-ujC1860 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS],10/30/17 23:12,11,-87,32.10599256,34.97034258,140.6123047,10.72000027,WIFI,device=OnePlus5
34:0a:12:31:04:2f,Afikim-wifi,[ESS],10/30/17 23:12,7,-83,32.10599256,34.97034258,140.6123047,10.72000027,WIFI,device=OnePlus5
c4:12:f5:81:81:57,Bidud,[WPA2-PSK-CCMP][ESS],10/30/17 23:15,3,-81,32.10600078,34.97027756,143.44104,10.72000027,WIFI,device=OnePlus5
80:1f:02:66:67:a8,Ambel-WIFI,[WPA-PSK-TKIP][WPS][ESS],10/30/17 23:19,11,-76,32.1060107,34.97028429,145.8370972,10.72000027,WIFI,device=OnePlus5
e8:fc:af:7e:c8:f8,,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:19,11,-84,32.1060177,34.97027998,142.998291,9.648000717,WIFI,device=OnePlus5
00:10:f3:69:eb:6f,hiSky,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:19,1,-80,32.10597441,34.97030185,137.6893311,10.72000027,WIFI,device=OnePlus5
02:10:f3:69:eb:6f,hiSkyguest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:19,1,-82,32.10597441,34.97030185,137.6893311,10.72000027,WIFI,device=OnePlus5
4c:60:de:43:ef:26,BezeqNGN_72131,[WPS][ESS],10/30/17 23:19,6,-90,32.10597441,34.97030185,137.6893311,10.72000027,WIFI,device=OnePlus5
00:23:68:04:75:41,HOTm-Guests,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],10/30/17 23:20,2,-81,32.10595323,34.97029289,133.520752,9.648000717,WIFI,device=OnePlus5
00:23:68:04:75:40,HOTm-WLAN,[WPA-EAP-TKIP][WPA2-EAP+FT/EAP-CCMP+TKIP][ESS],10/30/17 23:20,2,-81,32.10595323,34.97029289,133.520752,9.648000717,WIFI,device=OnePlus5
12:90:7f:b3:d3:02,Hisky-Guest,[WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:20,1,-84,32.10594215,34.97024266,128.4286499,3.21600008,WIFI,device=OnePlus5
20:2a:a8:b1:9f:b7,cloudyn-mktg-sales,[WPA2-PSK-CCMP][ESS],10/30/17 23:25,6,-90,32.10593104,34.97020232,122.9378662,10.72000027,WIFI,device=OnePlus5
0c:f4:d5:18:19:58,Phytech_wifi,[WPA2-PSK-CCMP][ESS],10/30/17 23:25,12,-77,32.1059287,34.97020348,122.9718018,9.648000717,WIFI,device=OnePlus5
34:0b:05:18:21:39,Afikim-wifi,[ESS],10/30/17 23:30,7,-87,32.10589941,34.97018188,125.8179932,10.72000027,WIFI,device=OnePlus5
34:0a:12:31:04:68,Afikim-wifi,[ESS],10/30/17 23:31,7,-83,32.10589975,34.97018078,126.0028687,9.648000717,WIFI,device=OnePlus5
02:90:7f:b3:d3:02,Hisky,[WPA2-PSK-CCMP+TKIP][ESS],10/30/17 23:32,1,-84,32.10589799,34.970184,126.3644409,10.72000027,WIFI,device=OnePlus5
f0:5c:19:9f:1e:21,EFI-guest,[ESS],10/30/17 23:34,11,-86,32.10588775,34.97019561,130.9185181,10.72000027,WIFI,device=OnePlus5
28:6f:7f:54:30:99,Peer-10,[WPA2-PSK-CCMP][ESS],10/30/17 23:55,1,-82,32.10604059,34.97002002,130.3736572,32.15999985,WIFI,device=OnePlus5
42501_22213_8632321,Partner IL,UNKNOWN;il,10/30/17 23:55,0,-74,32.10604059,34.97002002,130.3736572,32.15999985,GSM,device=OnePlus5
f4:f2:6d:82:1b:48,Shivrug-WiFi,[WPA2-PSK-CCMP][WPS][ESS],10/30/17 23:58,8,-85,32.10596984,34.97017593,128.5113525,10.72000027,WIFI,device=OnePlus5
00:0e:f4:de:75:53,Utilis_Office,[WPA2-PSK-CCMP][ESS],10/30/17 23:59,11,-86,32.10598589,34.9701693,130.2276611,10.72000027,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],10/31/17 0:04,10,-78,32.10601506,34.97015231,134.9691162,10.72000027,WIFI,device=OnePlus5
14:cc:20:bb:76:de,HiSky1,[WPA2-PSK-CCMP][WPS][ESS],10/31/17 0:05,10,-70,32.10601669,34.97014963,135.2359619,10.72000027,WIFI,device=OnePlus5
06:ae:db:c9:62:ed,BezeqFree,[WPA2-PSK-CCMP][ESS],10/31/17 0:05,6,-86,32.10605948,34.97002792,163.3630371,15.00800037,WIFI,device=OnePlus5
42501_22213_8632322,Partner IL,UNKNOWN;il,10/31/17 0:05,0,-69,32.10606067,34.9700084,151.0673218,16.07999992,GSM,device=OnePlus5
14:ae:db:c9:62:ed,D.I. LOGISTIC,[WPA2-PSK-CCMP][ESS],10/31/17 0:11,6,-88,32.10597318,34.97008293,280.4614258,33.23200226,WIFI,device=OnePlus5
58:20:b1:d0:1f:a3,HP-Print-A3-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],10/31/17 0:12,6,-91,32.10580015,34.97041462,334.5370483,15.00800037,WIFI,device=OnePlus5
42501_10222_1475520,Partner IL,UNKNOWN;il,10/31/17 0:14,0,-69,32.1058754,34.97018505,133.4911499,6.43200016,GSM,device=OnePlus5
d0:d4:12:65:61:82,Shaked,[WPA2-PSK-CCMP][ESS],11/5/17 11:49,11,-45,32.10135379,35.20453157,712.9454346,21.44000053,WIFI,device=OnePlus5
9c:d6:43:22:a0:a1,Bezeq-N_22a0a0,[WEP][ESS],11/5/17 11:49,6,-89,32.10135379,35.20453157,712.9454346,21.44000053,WIFI,device=OnePlus5
14:af:db:3e:3e:aa,BezeqFree,[WPA2-PSK-CCMP][ESS],11/5/17 11:49,5,-87,32.10135379,35.20453157,712.9454346,21.44000053,WIFI,device=OnePlus5
42501_10072_470802,Partner IL,HSDPA;il,11/5/17 11:49,0,-81,32.10135379,35.20453157,712.9454346,21.44000053,GSM,device=OnePlus5
16:0c:c3:ee:79:11,Regina,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11/5/17 11:56,1,-86,32.10126637,35.20451003,724.4387207,12.86400032,WIFI,device=OnePlus5
9c:d6:43:22:6f:38,amagnivim,[WPA2-PSK-CCMP][ESS],11/5/17 11:56,6,-88,32.10126637,35.20451003,724.4387207,12.86400032,WIFI,device=OnePlus5
04:a1:51:c4:05:df,gili468 2.4,[WPA2-PSK-CCMP][WPS][ESS],11/5/17 11:56,1,-89,32.10126637,35.20451003,724.4387207,12.86400032,WIFI,device=OnePlus5
42501_7211_3084803,Partner IL,UNKNOWN;il,11/5/17 11:56,0,-58,32.10126637,35.20451003,724.4387207,12.86400032,GSM,device=OnePlus5
9c:d6:43:22:a0:a1,Bezeq-N_22a0a0,[WEP][ESS],11/5/17 12:06,6,-82,32.10120831,35.20451279,704.7623291,12.86400032,WIFI,device=OnePlus5
14:ae:db:3e:3e:aa,316672567,[WPA2-PSK-CCMP][ESS],11/5/17 12:06,5,-85,32.10120831,35.20451279,704.7623291,12.86400032,WIFI,device=OnePlus5
8c:0c:90:2f:ca:18,Ariel_University,[ESS],11/5/17 12:06,1,-85,32.10120831,35.20451279,704.7623291,12.86400032,WIFI,device=OnePlus5
42501_7213_5340162,Partner IL,UNKNOWN;il,11/5/17 12:06,0,-45,32.10120831,35.20451279,704.7623291,12.86400032,GSM,device=OnePlus5
a0:ab:1b:63:24:4e,yarin,[WPA2-PSK-CCMP][ESS],11/5/17 12:13,2,-82,32.10131071,35.20453352,709.236084,10.72000027,WIFI,device=OnePlus5
42501_7213_5396482,Partner IL,UNKNOWN;il,11/5/17 12:21,0,-66,32.10115272,35.20454105,703.6870117,10.72000027,GSM,device=OnePlus5
